ticker,atr_mult,vol_mult,short_dur,num_trades,win_rate,avg_profit,max_loss,total_return,sharpe
GOOG,3.0,2.0,1,2,50.0,1.3031456311358616,-0.9265113893156462,2.606291262271723,0.41327572097308213
GOOG,3.0,2.0,3,2,50.0,0.63113267297978,-1.6865562877282432,1.26226534595956,0.19255309942713886
GOOG,3.0,2.0,6,2,50.0,-0.9629472243918891,-2.1922145477796113,-1.9258944487837781,-0.5539124804975432
GOOG,3.0,3.0,1,2,50.0,1.3031456311358616,-0.9265113893156462,2.606291262271723,0.41327572097308213
GOOG,3.0,3.0,3,2,50.0,0.63113267297978,-1.6865562877282432,1.26226534595956,0.19255309942713886
GOOG,3.0,3.0,6,2,50.0,-0.9629472243918891,-2.1922145477796113,-1.9258944487837781,-0.5539124804975432
GOOG,4.0,2.0,1,2,50.0,1.3031456311358616,-0.9265113893156462,2.606291262271723,0.41327572097308213
GOOG,4.0,2.0,3,2,50.0,0.63113267297978,-1.6865562877282432,1.26226534595956,0.19255309942713886
GOOG,4.0,2.0,6,2,50.0,-0.9629472243918891,-2.1922145477796113,-1.9258944487837781,-0.5539124804975432
GOOG,4.0,3.0,1,2,50.0,1.3031456311358616,-0.9265113893156462,2.606291262271723,0.41327572097308213
GOOG,4.0,3.0,3,2,50.0,0.63113267297978,-1.6865562877282432,1.26226534595956,0.19255309942713886
GOOG,4.0,3.0,6,2,50.0,-0.9629472243918891,-2.1922145477796113,-1.9258944487837781,-0.5539124804975432
GOOG,5.0,2.0,1,1,100.0,3.5328026515873696,3.5328026515873696,3.5328026515873696,0.0
GOOG,5.0,2.0,3,1,100.0,2.9488216336878033,2.9488216336878033,2.9488216336878033,0.0
GOOG,5.0,2.0,6,1,100.0,0.2663200989958331,0.2663200989958331,0.2663200989958331,0.0
GOOG,5.0,3.0,1,1,100.0,3.5328026515873696,3.5328026515873696,3.5328026515873696,0.0
GOOG,5.0,3.0,3,1,100.0,2.9488216336878033,2.9488216336878033,2.9488216336878033,0.0
GOOG,5.0,3.0,6,1,100.0,0.2663200989958331,0.2663200989958331,0.2663200989958331,0.0
XOM,3.0,2.0,1,1,0.0,-0.9881262325740748,-0.9881262325740748,-0.9881262325740748,0.0
XOM,3.0,2.0,3,1,100.0,0.15772700952931068,0.15772700952931068,0.15772700952931068,0.0
XOM,3.0,2.0,6,1,100.0,0.8907024451155028,0.8907024451155028,0.8907024451155028,0.0
XOM,3.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
XOM,3.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
XOM,3.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
XOM,4.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0
XOM,4.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
XOM,4.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
XOM,4.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
XOM,4.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
XOM,4.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
XOM,5.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0
XOM,5.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
XOM,5.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
XOM,5.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
XOM,5.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
XOM,5.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
NVDA,3.0,2.0,1,1,0.0,-0.9419942254956898,-0.9419942254956898,-0.9419942254956898,0.0
NVDA,3.0,2.0,3,1,0.0,-1.088797688917827,-1.088797688917827,-1.088797688917827,0.0
NVDA,3.0,2.0,6,1,0.0,-1.086708956691858,-1.086708956691858,-1.086708956691858,0.0
NVDA,3.0,3.0,1,1,0.0,-0.9419942254956898,-0.9419942254956898,-0.9419942254956898,0.0
NVDA,3.0,3.0,3,1,0.0,-1.088797688917827,-1.088797688917827,-1.088797688917827,0.0
NVDA,3.0,3.0,6,1,0.0,-1.086708956691858,-1.086708956691858,-1.086708956691858,0.0
NVDA,4.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0
NVDA,4.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
NVDA,4.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
NVDA,4.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
NVDA,4.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
NVDA,4.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
NVDA,5.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0
NVDA,5.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
NVDA,5.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
NVDA,5.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
NVDA,5.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
NVDA,5.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
JPM,3.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0
JPM,3.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
JPM,3.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
JPM,3.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
JPM,3.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
JPM,3.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
JPM,4.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0
JPM,4.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
JPM,4.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
JPM,4.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
JPM,4.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
JPM,4.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
JPM,5.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0
JPM,5.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
JPM,5.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
JPM,5.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
JPM,5.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
JPM,5.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
KO,3.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0
KO,3.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
KO,3.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
KO,3.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
KO,3.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
KO,3.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
KO,4.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0
KO,4.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
KO,4.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
KO,4.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
KO,4.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
KO,4.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
KO,5.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0
KO,5.0,2.0,3,0,0.0,0.0,0.0,0.0,0.0
KO,5.0,2.0,6,0,0.0,0.0,0.0,0.0,0.0
KO,5.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0
KO,5.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0
KO,5.0,3.0,6,0,0.0,0.0,0.0,0.0,0.0
